fips,year,quarter,quarter_num,period_index,total_ed_encounters,treat_and_release_ed,ed_encounters_requiring,ed_encounters_admitted_as,facility_count,component_gap,county_name,lat,lon,target_lag1,target_lag2,target_lag3,target_lag4,target_roll4,facility_count_lag1,acs_lag2_population,acs_lag2_median_income,acs_lag2_poverty_rate,acs_lag2_pct_under5,acs_lag2_pct_65plus,acs_source_year,acs_lag2_population_100k,weather_lag4_days_observed,weather_lag4_tavg_mean,weather_lag4_precip_total,weather_lag4_snowfall_total,weather_lag4_hot_days,weather_lag4_freeze_days,weather_lag4_wet_days,weather_source_year,is_covid,post_covid,quarter_Q2,quarter_Q3,quarter_Q4,is_nyc,is_downstate_non_nyc,region,facility_ed_encounters_per_100k_proxy
36031,2018,Q1,1,8073,4186.0,2545.0,0.0,0.0,3,1641.0,Essex County,44.109601,-73.778431,,,,,,,38598.0,53244.0,10.072540007752368,4.0623866521581435,21.083993989325872,2016,0.38598,90,18.997222222222224,13.45,73.416,0,88,64,2017,0,0,0,0,0,0,0,upstate,10845.121508886472
36033,2018,Q1,1,8073,6092.0,5422.0,48.0,622.0,2,0.0,Franklin County,44.594376,-74.31067,,,,,,,51007.0,49782.0,19.230429404488426,5.00127433489521,14.929323426196403,2016,0.51007,90,22.221111111111114,13.175,61.351,0,82,67,2017,0,0,0,0,0,0,0,upstate,11943.458740957123
36035,2018,Q1,1,8073,5648.0,5187.0,29.0,432.0,1,0.0,Fulton County,43.115609,-74.423678,,,,,,,54297.0,46090.0,16.70027705007633,5.022376926902039,17.88680774260088,2016,0.54297,90,25.704444444444444,14.448,58.837,0,80,53,2017,0,0,0,0,0,0,0,upstate,10402.047995285191
36037,2018,Q1,1,8073,5645.0,4847.0,27.0,771.0,1,0.0,Genesee County,43.00091,-78.192778,,,,,,,59053.0,52641.0,12.453375045120923,5.124210455014986,17.394543884307318,2016,0.59053,90,31.975,11.118,26.513,0,67,60,2017,0,0,0,0,0,0,0,upstate,9559.20952364825
36045,2018,Q1,1,8073,10860.0,9387.0,64.0,1409.0,3,0.0,Jefferson County,43.996389,-76.052968,,,,,,,117966.0,49911.0,14.578039560755299,8.172693827034909,12.172151297831578,2016,1.17966,90,30.015,11.456,33.125,0,68,53,2017,0,0,0,0,0,0,0,upstate,9206.042419002084
36047,2018,Q1,1,8073,252787.0,147486.0,1584.0,24956.0,15,78761.0,Kings County,40.635045,-73.95064,,,,,,,2606852.0,50640.0,22.730730154455898,7.436210417775922,12.18231798352956,2016,26.06852,90,37.62111111111111,9.69,25.108,0,48,38,2017,0,0,0,0,0,1,0,nyc,9697.021541690898
36049,2018,Q1,1,8073,2633.0,2394.0,28.0,211.0,1,0.0,Lewis County,43.782706,-75.444132,,,,,,,27107.0,49976.0,14.015024105841462,6.0353414247242405,16.60825616999299,2016,0.27107,90,27.98611111111111,12.468,50.493,0,71,61,2017,0,0,0,0,0,0,0,upstate,9713.358173165603
36051,2018,Q1,1,8073,3629.0,3208.0,23.0,398.0,1,0.0,Livingston County,42.729042,-77.778463,,,,,,,64622.0,52724.0,14.893508001844607,4.572746123611155,15.763981306675745,2016,0.64622,90,32.818888888888885,10.472,22.515,0,66,62,2017,0,0,0,0,0,0,0,upstate,5615.734579554951
36053,2018,Q1,1,8073,8126.0,5255.0,44.0,388.0,2,2439.0,Madison County,42.910026,-75.663575,,,,,,,72089.0,55858.0,11.858629350556154,4.680325708499216,15.903952059260082,2016,0.72089,90,27.97888888888889,14.385,54.291,0,76,67,2017,0,0,0,0,0,0,0,upstate,11272.17744732206
36055,2018,Q1,1,8073,85841.0,68278.0,606.0,16957.0,6,0.0,Monroe County,43.250347,-77.700518,,,,,,,749236.0,53568.0,14.856064806003989,5.632137270499548,15.491914430166196,2016,7.49236,90,33.471111111111114,10.458,23.485,0,64,59,2017,0,0,0,0,0,0,0,upstate,11457.137670907432
